Y,X,Capacity Source,Short Name,Movement,State,Smoothed Occupancy (%),Smoothed Total Flow (veh/h),System,
-37.80061,144.799676,Upper Limit,14911AB_L_P0,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),OK,9.13,5190.19,VicRoads Production,
-37.800616,144.799736,Upper Limit,14911AB_L_P1,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),OK,9.19,5155.06,VicRoads Production,
-37.7173,144.873617,Upper Limit,14945AB_P0,Freeway MVT on Western Ring Rd SWB between Airport Dr Off Ramp (sb) & Airport Dr On Ramp (sb),OK,7.68,4963.02,VicRoads Production,
-37.717338,144.873568,Measured,14945AB_P1,Freeway MVT on Western Ring Rd SWB between Airport Dr Off Ramp (sb) & Airport Dr On Ramp (sb),OK,7.69,4950.72,VicRoads Production,
-37.714397,144.877406,Upper Limit,14946AB_P0,Freeway MVT on Western Ring Rd SWB between Airport Dr Off Ramp (sb) & Airport Dr On Ramp (sb),OK,8.59,4994.73,VicRoads Production,
-37.714435,144.877356,Measured,14946AB_P1,Freeway MVT on Western Ring Rd SWB between Airport Dr Off Ramp (sb) & Airport Dr On Ramp (sb),OK,8.66,4962.92,VicRoads Production,
-37.719714,144.870467,Measured,14944AB_P1,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),Fault,10.23,5012.20,VicRoads Production,
-37.723654,144.865306,Upper Limit,14942AB_P0,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),OK,9.25,5040.39,VicRoads Production,
-37.723692,144.865256,Upper Limit,14942AB_P1,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),OK,9.20,5032.07,VicRoads Production,
-37.720941,144.868867,Measured,14943AB_P0,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),OK,9.20,4983.72,VicRoads Production,
-37.720978,144.868818,Measured,14943AB_P1,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),OK,8.94,4933.23,VicRoads Production,
-37.719677,144.870515,Measured,14944AB_P0,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),OK,9.28,4834.61,VicRoads Production,
-37.720941,144.868867,Measured,14943AB_E_P0,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),OK,6.74,1041.98,VicRoads Production,
-37.720978,144.868818,Measured,14943AB_E_P1,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),OK,6.59,1021.82,VicRoads Production,
-37.719677,144.870515,Measured,14944AB_E_P0,Freeway MVT on Western Ring Rd SWB between Airport Dr On Ramp (sb) & Calder Fwy Off Ramp (sb),OK,6.21,874.96,VicRoads Production,
